r12^t,r22^t,outside^t,r12^t+1,
0.0,0.0,0.0,0.0,0.9994547437295529
0.0,0.0,0.0,1.0,0.0005452562704471102
0.0,0.0,1.0,0.0,0.9801980198019803
0.0,0.0,1.0,1.0,0.019801980198019802
0.0,1.0,0.0,0.0,0.9757785467128027
0.0,1.0,0.0,1.0,0.02422145328719723
0.0,1.0,1.0,0.0,0.19999999999999998
0.0,1.0,1.0,1.0,0.7999999999999999
1.0,0.0,0.0,0.0,0.0379746835443038
1.0,0.0,0.0,1.0,0.9620253164556962
1.0,0.0,1.0,0.0,0.45454545454545453
1.0,0.0,1.0,1.0,0.5454545454545454
1.0,1.0,0.0,0.0,0.2857142857142857
1.0,1.0,0.0,1.0,0.7142857142857143
1.0,1.0,1.0,0.0,0.18181818181818182
1.0,1.0,1.0,1.0,0.8181818181818182
