r22^t,r25^t,r26^t,c1^t,r25^t+1,
0.0,0.0,0.0,0.0,0.0,0.9904153354632588
0.0,0.0,0.0,0.0,1.0,0.009584664536741214
0.0,0.0,0.0,1.0,0.0,0.9335038363171355
0.0,0.0,0.0,1.0,1.0,0.06649616368286446
0.0,0.0,1.0,0.0,0.0,0.7435897435897436
0.0,0.0,1.0,0.0,1.0,0.2564102564102564
0.0,0.0,1.0,1.0,0.0,0.8307692307692308
0.0,0.0,1.0,1.0,1.0,0.16923076923076924
0.0,1.0,0.0,0.0,0.0,0.1518324607329843
0.0,1.0,0.0,0.0,1.0,0.8481675392670156
0.0,1.0,0.0,1.0,0.0,0.1274131274131274
0.0,1.0,0.0,1.0,1.0,0.8725868725868726
0.0,1.0,1.0,0.0,0.0,0.0909090909090909
0.0,1.0,1.0,0.0,1.0,0.909090909090909
0.0,1.0,1.0,1.0,0.0,0.1923076923076923
0.0,1.0,1.0,1.0,1.0,0.8076923076923077
1.0,0.0,0.0,0.0,0.0,0.9846153846153846
1.0,0.0,0.0,0.0,1.0,0.015384615384615384
1.0,0.0,0.0,1.0,0.0,0.9066666666666667
1.0,0.0,0.0,1.0,1.0,0.09333333333333334
1.0,0.0,1.0,0.0,0.0,0.3333333333333333
1.0,0.0,1.0,0.0,1.0,0.6666666666666666
1.0,0.0,1.0,1.0,0.0,0.5833333333333334
1.0,0.0,1.0,1.0,1.0,0.4166666666666667
1.0,1.0,0.0,0.0,0.0,0.13793103448275862
1.0,1.0,0.0,0.0,1.0,0.8620689655172414
1.0,1.0,0.0,1.0,0.0,0.1320754716981132
1.0,1.0,0.0,1.0,1.0,0.8679245283018868
1.0,1.0,1.0,0.0,0.0,0.3333333333333333
1.0,1.0,1.0,0.0,1.0,0.6666666666666666
1.0,1.0,1.0,1.0,0.0,0.2
1.0,1.0,1.0,1.0,1.0,0.8
