r5^t,r6^t,r9^t,c3a^t,r5^t+1,
0.0,0.0,0.0,0.0,0.0,0.9971223021582734
0.0,0.0,0.0,0.0,1.0,0.0028776978417266183
0.0,0.0,0.0,1.0,0.0,0.9285714285714285
0.0,0.0,0.0,1.0,1.0,0.07142857142857142
0.0,0.0,1.0,0.0,0.0,0.8980263157894737
0.0,0.0,1.0,0.0,1.0,0.10197368421052631
0.0,0.0,1.0,1.0,0.0,0.8031088082901554
0.0,0.0,1.0,1.0,1.0,0.19689119170984457
0.0,1.0,0.0,0.0,0.0,0.9824561403508771
0.0,1.0,0.0,0.0,1.0,0.017543859649122806
0.0,1.0,0.0,1.0,0.0,0.9359999999999999
0.0,1.0,0.0,1.0,1.0,0.06399999999999999
0.0,1.0,1.0,0.0,0.0,0.8831168831168832
0.0,1.0,1.0,0.0,1.0,0.11688311688311688
0.0,1.0,1.0,1.0,0.0,0.8064516129032258
0.0,1.0,1.0,1.0,1.0,0.19354838709677416
1.0,0.0,0.0,0.0,0.0,0.33333333333333337
1.0,0.0,0.0,0.0,1.0,0.6666666666666667
1.0,0.0,0.0,1.0,0.0,0.32038834951456313
1.0,0.0,0.0,1.0,1.0,0.6796116504854369
1.0,0.0,1.0,0.0,0.0,0.515625
1.0,0.0,1.0,0.0,1.0,0.484375
1.0,0.0,1.0,1.0,0.0,0.44
1.0,0.0,1.0,1.0,1.0,0.5599999999999999
1.0,1.0,0.0,0.0,0.0,0.5714285714285714
1.0,1.0,0.0,0.0,1.0,0.42857142857142855
1.0,1.0,0.0,1.0,0.0,0.380952380952381
1.0,1.0,0.0,1.0,1.0,0.6190476190476192
1.0,1.0,1.0,0.0,0.0,0.5
1.0,1.0,1.0,0.0,1.0,0.5
1.0,1.0,1.0,1.0,0.0,0.6666666666666666
1.0,1.0,1.0,1.0,1.0,0.3333333333333333
