r5^t,r8^t,r9^t,r13^t,r9^t+1,
0.0,0.0,0.0,0.0,0.0,0.9942638623326959
0.0,0.0,0.0,0.0,1.0,0.005736137667304015
0.0,0.0,0.0,1.0,0.0,0.9394812680115274
0.0,0.0,0.0,1.0,1.0,0.06051873198847263
0.0,0.0,1.0,0.0,0.0,0.1721311475409836
0.0,0.0,1.0,0.0,1.0,0.8278688524590164
0.0,0.0,1.0,1.0,0.0,0.13756613756613756
0.0,0.0,1.0,1.0,1.0,0.8624338624338624
0.0,1.0,0.0,0.0,0.0,0.6551724137931035
0.0,1.0,0.0,0.0,1.0,0.3448275862068966
0.0,1.0,0.0,1.0,0.0,0.6206896551724138
0.0,1.0,0.0,1.0,1.0,0.37931034482758624
0.0,1.0,1.0,0.0,0.0,0.2
0.0,1.0,1.0,0.0,1.0,0.8
0.0,1.0,1.0,1.0,0.0,0.15999999999999998
0.0,1.0,1.0,1.0,1.0,0.84
1.0,0.0,0.0,0.0,0.0,0.8197674418604652
1.0,0.0,0.0,0.0,1.0,0.1802325581395349
1.0,0.0,0.0,1.0,0.0,0.7358490566037735
1.0,0.0,0.0,1.0,1.0,0.26415094339622636
1.0,0.0,1.0,0.0,0.0,0.1774193548387097
1.0,0.0,1.0,0.0,1.0,0.8225806451612903
1.0,0.0,1.0,1.0,0.0,0.11538461538461538
1.0,0.0,1.0,1.0,1.0,0.8846153846153846
1.0,1.0,0.0,0.0,0.0,0.5714285714285714
1.0,1.0,0.0,0.0,1.0,0.42857142857142855
1.0,1.0,0.0,1.0,0.0,0.5
1.0,1.0,0.0,1.0,1.0,0.5
1.0,1.0,1.0,0.0,0.0,0.125
1.0,1.0,1.0,0.0,1.0,0.875
1.0,1.0,1.0,1.0,0.0,0.5
1.0,1.0,1.0,1.0,1.0,0.5
